,N..ejcuciones,Semilla,Accuracy,Sensitivity,Specificity,Balanced.Accuracy,Kappa,X.Under.Curve
1,1,33833,0.956521739130435,1,0.923076923076923,0.961538461538462,0.91254752851711,0.961538461538462
2,2,90,0.782608695652174,0.6,0.923076923076923,0.761538461538461,0.541832669322709,0.761538461538461
3,3,2940,0.91304347826087,1,0.846153846153846,0.923076923076923,0.827067669172932,0.923076923076923
4,4,86203,0.782608695652174,0.6,0.923076923076923,0.761538461538461,0.541832669322709,0.761538461538461
5,5,123,0.91304347826087,0.9,0.923076923076923,0.911538461538462,0.823076923076923,0.911538461538462
6,6,789,0.826086956521739,1,0.692307692307692,0.846153846153846,0.661764705882353,0.846153846153846
7,7,67554,0.826086956521739,0.7,0.923076923076923,0.811538461538462,0.637795275590551,0.811538461538462
8,8,6094,0.91304347826087,0.9,0.923076923076923,0.911538461538462,0.823076923076923,0.911538461538462
9,9,47053,0.91304347826087,1,0.846153846153846,0.923076923076923,0.827067669172932,0.923076923076923
10,10,2098,0.91304347826087,1,0.846153846153846,0.923076923076923,0.827067669172932,0.923076923076923
11,11,819,0.91304347826087,0.8,1,0.9,0.818897637795275,0.9
12,12,8,0.826086956521739,0.7,0.923076923076923,0.811538461538462,0.637795275590551,0.811538461538462
13,13,70090,0.782608695652174,0.6,0.923076923076923,0.761538461538461,0.541832669322709,0.761538461538461
14,14,3293,0.869565217391304,0.8,0.923076923076923,0.861538461538462,0.731517509727626,0.861538461538462
15,15,110,0.869565217391304,1,0.769230769230769,0.884615384615385,0.743494423791822,0.884615384615385
16,16,70988,0.91304347826087,0.9,0.923076923076923,0.911538461538462,0.823076923076923,0.911538461538462
17,17,44550,0.869565217391304,0.7,1,0.85,0.725099601593625,0.85
18,18,110923,0.826086956521739,0.8,0.846153846153846,0.823076923076923,0.646153846153846,0.823076923076923
19,19,99099,0.91304347826087,0.8,1,0.9,0.818897637795275,0.9
20,20,16,0.91304347826087,0.8,1,0.9,0.818897637795275,0.9
21,21,19023,0.869565217391304,0.9,0.846153846153846,0.873076923076923,0.737642585551331,0.873076923076923
22,22,7007,0.869565217391304,0.9,0.846153846153846,0.873076923076923,0.737642585551331,0.873076923076923
23,23,504,0.91304347826087,1,0.846153846153846,0.923076923076923,0.827067669172932,0.923076923076923
24,24,222,0.869565217391304,0.8,0.923076923076923,0.861538461538462,0.731517509727626,0.861538461538462
25,25,32,0.782608695652174,0.8,0.769230769230769,0.784615384615385,0.562737642585551,0.784615384615385
26,26,3000,0.739130434782609,0.7,0.769230769230769,0.734615384615385,0.469230769230769,0.734615384615385
27,27,4593,0.869565217391304,1,0.769230769230769,0.884615384615385,0.743494423791822,0.884615384615385
28,28,10203,0.91304347826087,0.9,0.923076923076923,0.911538461538462,0.823076923076923,0.911538461538462
29,29,309485,0.826086956521739,0.8,0.846153846153846,0.823076923076923,0.646153846153846,0.823076923076923
30,30,909653,0.869565217391304,0.8,0.923076923076923,0.861538461538462,0.731517509727626,0.861538461538462
,,promedio,0.865217391304348,0.84,0.884615384615385,0.862307692307692,0.724629144317359,0.862307692307692
,,desviacion_es,0.053979260008348,0.130251745636591,0.07758337295602,0.059089189707921,0.112485748493004,0.059089189707921
